src-ip,dst-ip,color,vdevice-name,src-port,system-ip,dst-port,site-id,transitions,vdevice-host-name,local-color,uptime,detect-multiplier,vdevice-dataKey,proto,lastupdated,state,tx-interval,uptime-date
10.101.10.1,12.10.2.1,public-internet,10.0.1.1,12366,10.0.2.1,12346,1002,1,S1001-SD1,biz-internet,0:00:25:58,7,10.0.1.1-biz-internet-10.0.2.1-public-internet-ipsec,ipsec,1729051165783,up,1000,1729049580000
10.101.10.1,13.10.3.1,public-internet,10.0.1.1,12366,10.0.3.1,12346,1003,0,S1001-SD1,biz-internet,0:02:53:01,7,10.0.1.1-biz-internet-10.0.3.1-public-internet-ipsec,ipsec,1729051165783,up,1000,1729040760000
10.101.10.1,14.10.4.1,public-internet,10.0.1.1,12366,10.0.4.2,5065,1004,0,S1001-SD1,biz-internet,0:02:51:49,7,10.0.1.1-biz-internet-10.0.4.2-public-internet-ipsec,ipsec,1729051165783,up,1000,1729040820000
10.101.10.1,14.10.4.1,public-internet,10.0.1.1,12366,10.0.4.1,12346,1004,0,S1001-SD1,biz-internet,0:02:51:49,7,10.0.1.1-biz-internet-10.0.4.1-public-internet-ipsec,ipsec,1729051165783,up,1000,1729040820000
11.10.1.1,12.10.2.1,public-internet,10.0.1.1,12346,10.0.2.1,12346,1002,1,S1001-SD1,public-internet,0:00:25:58,7,10.0.1.1-public-internet-10.0.2.1-public-internet-ipsec,ipsec,1729051165783,up,1000,1729049580000
11.10.1.1,13.10.3.1,public-internet,10.0.1.1,12346,10.0.3.1,12346,1003,0,S1001-SD1,public-internet,0:02:54:13,7,10.0.1.1-public-internet-10.0.3.1-public-internet-ipsec,ipsec,1729051165783,up,1000,1729040700000
11.10.1.1,14.10.4.1,public-internet,10.0.1.1,12346,10.0.4.2,5065,1004,0,S1001-SD1,public-internet,0:02:51:49,7,10.0.1.1-public-internet-10.0.4.2-public-internet-ipsec,ipsec,1729051165783,up,1000,1729040820000
11.10.1.1,14.10.4.1,public-internet,10.0.1.1,12346,10.0.4.1,12346,1004,0,S1001-SD1,public-internet,0:02:51:49,7,10.0.1.1-public-internet-10.0.4.1-public-internet-ipsec,ipsec,1729051165783,up,1000,1729040820000
172.16.11.1,10.104.20.1,private2,10.0.1.1,12346,10.0.4.1,12346,1004,0,S1001-SD1,private1,0:02:51:49,7,10.0.1.1-private1-10.0.4.1-private2-ipsec,ipsec,1729051165783,up,1000,1729040820000
172.16.11.1,172.16.12.1,private1,10.0.1.1,12346,10.0.2.1,12346,1002,1,S1001-SD1,private1,NA,7,10.0.1.1-private1-10.0.2.1-private1-ipsec,ipsec,1729051165783,down,1000,
172.16.11.1,172.16.13.1,private1,10.0.1.1,12346,10.0.3.1,12346,1003,0,S1001-SD1,private1,0:02:54:13,7,10.0.1.1-private1-10.0.3.1-private1-ipsec,ipsec,1729051165783,up,1000,1729040700000
172.16.11.1,172.16.14.1,private1,10.0.1.1,12346,10.0.4.2,12346,1004,0,S1001-SD1,private1,0:02:51:49,7,10.0.1.1-private1-10.0.4.2-private1-ipsec,ipsec,1729051165783,up,1000,1729040820000
