peer-type,system-ip,local-color,remote-color,uptime,site-id,protocol,state
vedge,10.0.1.2,default,public-internet,0:02:52:30,1001,tls,up
vedge,10.0.1.1,default,public-internet,0:02:55:01,1001,tls,up
vedge,10.0.1.1,default,biz-internet,0:02:52:46,1001,tls,up
vedge,10.0.1.2,default,biz-internet,0:02:52:30,1001,tls,up
vedge,10.0.1.1,default,private1,0:02:54:58,1001,tls,up
vedge,10.0.1.2,default,private1,0:02:52:30,1001,tls,up
vedge,10.0.4.1,default,public-internet,0:02:51:54,1004,tls,up
vedge,10.0.4.1,default,private2,0:02:51:54,1004,tls,up
vbond,90.90.90.2,default,default,0:03:03:29,0,dtls,up
vmanage,90.90.90.1,default,default,0:03:03:16,900,tls,up
vedge,10.0.2.1,default,public-internet,0:02:52:06,1002,tls,up
vedge,10.0.2.1,default,private1,0:02:52:06,1002,tls,up
vedge,10.0.3.1,default,public-internet,0:02:54:35,1003,tls,up
vedge,10.0.3.1,default,private1,0:02:54:35,1003,tls,up
vedge,10.0.4.2,default,public-internet,0:02:52:07,1004,tls,up
vedge,10.0.4.2,default,private1,0:02:52:07,1004,tls,up
vbond,90.90.90.2,default,default,0:03:03:14,0,dtls,up
